term,sentiment
abra,0
teresaffm98,0
oweeeee,0
aux,0
dommm20,0
sway,0
amu,0
desligar,0
scoparmelipreferisco,0
httptcoBt,0
onewbot,0
BrandonsLaced,-1
httptcoGOkASRkk71,-1
carlynalaniex3,1
Weekamp39s,0
chinelo,-1
JPY,0
AdelinaPlatina,0
Temple,-1
tokiyaonlyyou,0
JojizHolmes,0
voit,0
GODsGraces,1
vois,0
Princessmeenie,0
httptcoSaJZjpqNkv,0
dijilat,0
AttierraZaid,0
Madness,1
Prsan,0
affiche,0
noomaana,0
httptcomPSiJ7hrMW,1
dipukul,0
ojeknyaJosuaChristian1,0
MaedaNozomi,0
yahbtn,0
httptcoqJ7WRp41QY,-1
quartetrainbow4,0
httptcoSQHzUrlYED,0
letnqls,0
Iklanharian,1
juzuk,0
ghizadoggz,0
limites,0
promener,0
missromanticide,1
Demsholic,0
SweetGrandeLove,0
ejemplo,0
pindah,0
deketin,0
likely,0
Salshaatilaang,0
jaming,0
farha1012,0
coraje,-1
44uGcoco,1
httptcovqBxmsnstm,0
krim,0
nocatchasemouse,0
Nyehe,1
infomucsoes,0
RaceJerez,0
Arizona,0
httptcoxQI1IbOKIy,0
MieyraEleiyna,0
16yo,0
achhabieb,1
hairdresser,0
httptcooUtT0vUZUm,0
unwholesome,-1
fujooooolia,-1
mee,0
med,0
meg,1.0
mec,0
konkrt,0
mem,0
mel,0
COMEONDAWG,1
men,0
mei,0
kamadi,0
mek,0
Directioner4life,0
met,0
mew,0
HappyBday,0
mes,0.0
mer,0
aabbcc1433,0
takeruturu,0
sabarnyaaaa,0
mey,0
analisis,0
zhduki,0
Foch,0
Neden,0
haaha,0
diahahadebyoctaviani,1
Mending,0
Packaging,0
NadianaAlfa19,0
Tautau,0
lucrative,-1
driveeee,0
PILLOW,0
OXI,0
MalikMyVaijai,-1
Aprend,-4.0
chunjifanboy,0
Russians,1
sohbet,0
httptcoWaR8t0xVGy,0
tatik,0
httptcoiGtOmFVYtu,0
Midori,0
SaraOMalley2,1
avantages,0
Piano,0
tienes,-1.0
JJRENDON,-1
oathenakisses,0
prettystagram,0
maurovizgarra,-1
Nigelrefowens,1
GemmaAlegre24,-1
llenar,1
llenas,0
EmilyaSabari,0
iAdcock,-1
SarrRose02,0
berdosa,0
cntik,0
marido,0
bdsm,0
IKALIM,0
survive,2.0
Indehoyyyy,0
MisisTatum,1
WHY,0
1030pm,1
VIVAbola,0
dibeliin,0
catchcopy,0
peleas,0
ginalesley,1
httptcoI9NSc9sZq5,-1
PhotoShopIllustrator,0
sadakati,0
Yukiji2CO,0
KathnielFever,0
pta,0
scatlhmds,0
room,3.0
httptcoG9qSBGtP0C,0
diragamu,0
Sam7tch,0
Rifatela,0
ubah,-1.0
nyata,0
movies,1.0
Melekler,0
Teriakk,0
feeeech,0
Hub083821491064,0
root,-1
hahafyrdhauz,0
dazugehrigem,0
peringkat,0
astagfirullah,0
httptco1RMScMwCRW,0
sstgh,0
Indahnya,0
climax,0
httptcoWg2fRWmJWd,0
stressing,0
Kakean,0
httptcoLzGKIobQVr,0
foods,-1
httptcom7JPfAXYZy,0
stevengautama,0
LAsThePlace,0
senyuman,-1
ramonbautista,0
Pasosyal,0
ditaak,0
slideee,1
Ajilaksono,0
titular,0
Watching,0
kimu0207,0
taktak,0
brcl8823,0
ganamos,0
OPEDEDOPGRANRODEO,0
dwisthaprmnajie,0
httptcoB6m4YBV787,0
KINSHICHO,0
BlackBerry,0
ENGAGEMENTRING,0
orgullosa,0
krizzykalerQUI,0
Bzz,0
terserahmu,0
egon,0
sexynya,1
dibawah,0
ova,0
MUSIC,0
papatamaan,0
twintwinklez,0
yutti0605,0
ovo,0
IyadeeeekRTRayhanmaulUltah,0
reklame,0
third,0
gtgtgtgtgtgtgt,0
hwhw,0
aaand,0
rismaadzana,1
semuanya,0
goodbye,0
memeber,0
atencin,0
athletes,-1
680,0
zonaramalanID,0
Waaah,0
samessssss,0
madrugada,0.0
wuu,1
wut,-2.0
innslaget,0
ahmadaggi,0
denhaag,0
boLeh,0
httptcoL4bfEVCd8Z,0
165166,0
Bhahaha,1
nostre,1
wud,0
fellas,1
kardeim,0
ngjak,1.0
Bangles,0
before,0
gitek,0
NiallHoranTH,0
LEEHY96,0
MiniYuno,0
personal,0.0
smswatsap,0
httptcoBD7SGh7V4O,0
httptco1IJn6kXiel,-1
crew,0
Iyalah,0
durun,0
hahatpi,1
Pate,0
nja,0
personas,-2.0
crea,0
cred,0
cree,0
marcella,-1
httptcofOVm1r2F9Q,1
baranya,0
gurulac,0
CITTADINI,0
artsolucao,0
Challenge,0
httptco0vuzUQVYti,0
genehttptcoVqaZRM92uH,0
Ernst,0
winamutiara1,0
Kimak,0
Agenda,0
exo3exo14,0
yazlmam,0
ibieberways,1
Novian95,0
anaaaa,0
shimenaaa,0
anis,0
KOTAKapa,0
Ayya,0
denoooouel,0
SernaTheGreat,0
sunnysunday,0
adithkidd,0
snowdarkie,0
Hats,1.0
vionimonicaa,0
dukunganmu,0
untuk,0
Hati,0
kembar,0
aaawww18,0
ChittaTee,-1
Ayyy,-1
lamadredehoward,0
Dere,0
odayakasann,0
Hate,-1.0
Check,1.0
Idrus,0
httptcoCWOdnSeoiw,0
alistie13,0
httptco46BahpLSeE,-1
opurtunidad,0
chillaxin,0
SS5,0
SS1,0
outchea,0
cuma,0
trading,0
nihhhh,0
forgot,2.0
USSocialMediaUS,0
aids,0
dostum,0
jjjoossuuee,1
profesora,0
Hablando,0
Rereading,1
APOYO,0
tellement,0
PaardenFeitjes,0
satopiiiii1,0
SDiegoNajera,1
3rttwitter,0
therealtmeza,1
ihop,0
alfonshoguti,-1
Moin,0
sofidesenzi,0
onu,0
mandi,0
flutters,1
umum,0
foto,0
httptco0ZTgJLSC5J,0
Join,1.0
Uuuuuunew,0
resume,0
ego98713838,0
httptcoNTRrSmRcfq,-1
pibesvuelteros,0
Missy,0
naaaaaaaavy29,0
httptcoovXoxnlD9J,1
Salvatore,0
neeek,0
waddehel,0
morothin,0
umur,0
sirensiren,0
nengii,0
nantinya,0
SSP,0
quedndose,0
ummiomioniry,0
rakuten,0
Girlfriend,0
angelasandss,0
ameliacindyy,0
1281428,0
SSC,0
user,0
CNAmelia,0
bellindanabel,0
publicoes,0
ayahnya,0
0423s04,0
jjs,0
violenciiiaaa,0
tb3,0
Tree,0
dufan,0
stighfar,0
wolipop,0
ozada,0
BapeHeelys,0
terbaring,0
nomakeup,0
CeciLiong,0
tkpe,0
httptcoGTrKF5Keqf,1
anbillivibil,0
Mess,-1
indiegamescom,1
LNP,1
iphone5isdabest,-1
hwwhshop,0
bjtoyama,0
kesosasosaso,0
naufalfajrian,0
IDxxbooooxx,0
LNG,0
Uhhhhh,0
httptcosU1xdIysiX,0
esterragave,0
digt,1
2am,-1.0
httptco90AUnCqs6A,0
AyuNazlahT,0
ellethemermaid,0
tyantoro,0
digo,-6.0
Laffaire,0
3523,0
Sengoku,0
gerah,0
gerai,0
sherani12,1
gerak,1.0
diga,0
mokukyary,0
begins,1.0
httptco1g8tU,1
BecciJose,0
esibizione,0
Exhausted,0
TWENTY,-1
ferero,1
kazet22,0
Will,0.0
jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj,0
doong,0
SkipioA,0
1000httpstcoUitc69OUrs,0
disurga,0
melalui,0
partes,0
httptcosjIKxvAGk7,1
quente,-1
Toonami,0
setengah,0
ayyubhaq,0
Alors,0
POLERAAAAAA,0
Szle,0
wolja,0
baaaaaack,0
natatakot,0
cibitan,0
girirajpai,0
Wandakiicut,0
TheEdgeNZ,1
tells,0
Porque,0
favsnya,0
httptco7c5QSFcaQ6,0
aizihanamhd,0
Egyptian,0
rastasong,0
siott,0
communicative,0
lhoLebih,0
Azhari,0
fitting,1
bengap,0
inposmd,0
TARUSH,0
Berselisih,0
thepyrvmids,0
04B1,0
httptcoOMBXObuce5,0
Doronpa01,0
Tegalalang,0
STROKING,0
httptcopeYl3zKp9a,1
Nemen,0
httptcoypvBonAHdL,0
LEGAL,0
mskteashi,0
marim,0
Carmelitas,0
Ortunya,0
Ivan,0
gmana,1.0
endlessLOVE613,1
Bolehin,0
maria,0
zealand,-1
akunya,0
banybernike,0
FunnyBooBy,0
ba2olek,0
adamjtlowe,0
gsm,0
TravisBHessJr8,1
Harmzx,0
OOOOOO,0
on9,0
httptcoldjjZQPfTw,0
cacete,0
pokoknya,0
wordt,0
kadhaa,1
probo,-1
RicardoPerales,0
eindelijk,0
PaolaColina4,0
Asfghjllmv,1
kur,0
mooood,0
peliculin,0
frontalin,0
fooled,0
buatmuka,1
tQjx,0
probs,0.0
httptcogYMuFne0gx,0
SEX,0
pare,0
quieren,-2.0
matiasnporto,0
Boneka,0
yokum,0
weekends,-1.0
yamwah,0
httptco1xAQ6ZpFhk,0
HarryStyles,0
mikatomo23,0
mnote1,0
quieres,0
Jeanmartinez27,-1
Nomer,0
bsica,-1
Maldives,3.0
nyet,0
duyurularini,0
keruma,0
mnadens,0
HAVEHADfootwear,0
dijajah,0
FBOYZYukihiro,0
skal,0
Leave,0
Nawtyjeggz,-1
tweetar,-1
ShinYeongKim,0
djkalfani,0
saracheal,0
dongwkRT,0
vemos,0
anymoreCUPID,0
malu2pputrikuswandi,0
BabyyGirl209,-2.0
lapokan,0
ooohh,0
biebvatoyrus,0
ietu,0
httptco4lae9rAx36,0
terminology,-1
kakabike,1
Partners,0
yutarobs10,0
dobyh,0
kelseylauren21,1
ikissedtyga,1
BENCI,0
co2hwardana,0
feby,0
gitapradana,0
httptcoOjzZwr19ZS,0
Taco,0
apak,0
seems,1.0
UISHAIUSHAIUSHAIUHS,0
5smtnm,0
Somebody,1.0
TVXQ,0
Tooo,0.0
TweetRAMALAN,0
YOU100,0
preparao,-1
pools3klootzak,0
dilihat,1
blabla,0
seneeeeeng,1
divinka,0
SOLD,0
leaderdhip,-1
hayatnzda,0
oma,0
mbeningrat,0
omg,0.0
omf,-1
Bgf,0
omd,0
OnnNieCho,0
chiemaru32,0
Ahora,0
httptcoSEL4I5jmyt,0
Almenos,0
luchibur,-1
meshizima,0
pastltltlt,0
Yooyoung,0
blancalovee,0
cousin,1
motto,0
BilangWOWGitu,0
tatuaje,0
Otherwise,-1.0
khawkins23,-1
927Nondumiso,1
civilised,1
dormite,0
cedricbixler,-1
oraang,0
Gemini,0
utayamdk,0
CaptainFRANCIS,0
KannaAkino,0
Cassie,0
yaay,0
percayalah,0
Diplomat,0
Football,0
MRPKise,0
dendynurhidaya1,0
yaar,0
yaaw,0
Bahamas,0
yaak,0
yaam,0
yhwh,0
yaan,1
yaaa,0
mbiduan,0
putt,0
copycat,0
dangereux,0
asks,-1
austerity,-1
askIf,1
patrolling,1
Lmfaoo,0
ting,-1.0
Triple,0
puta,0
basic,-1
httptcoUNA5PqGDom,0
puto,0
keluargaa,0
Snng,0
aiueo,0
Brambakti,0
Flor,-1
ILoveYouJustinxooxoxox,1
sooooo,-1
argument,0.0
psvnec,0
AsierLrf,0
rinduu,0
Misery,0
cambi,-2.0
Flog,1
forum,0
panas2,0
httptco4e4nCGEQYl,0
sombongdia,0
Kadnm,0
cleanRT,1
JFIshidaAyumi,0
httptcoAatx9BybYh,0
rykalhakimi,1
hidaka17,0
servis,1
lebrija,0
Beamzweiz,0
seven,0
cane,0
sesuka,0
kifferai,0
lucuuuuunya,0
precio,0
canl,0
canm,0
tradisi,0
201215000,0
cant,0
istiyoruz,0
cans,0
Dikelas,0
XLVII,0
CharlyFreedom,0
Warriors,0
precis,0
httptcoLEv4HTEqtT,0
poltica,0
httptcoE21PSWfl3A,-1
parish,-1
dbyersthegreat,0
MlenchonLe,0
poltico,0
httptco8cel2NUTPh,0
sOOmaxx,1
httptco7FaV7hGoPN,0
planeando,0
wamil,0
V8,-1
cheatdays,-1
muxotee,1
VA,0
VB,0
celingukan,0
VE,0
eganaangelica,0
2123vs3,0
ella,0
Vol352510301700,0
elle,0
tfergs3,-1
VP,0
VS,0
messiah1710,0
juliecunt,1
ellu,0
yuuchan0227,0
Va,0
Vc,0
hsite,0
Ve,0
presto,0
Vi,0
labyuuuu,0
Congratulationuntuk,0
10Basketballman,0
punishment,1
jconnors25,0
MadisonMaryD,-1
Campe,0
Vs,0
programa,0
Tugsh,0
asuhan,0
bunbin,0
yours,0.0
DiannaDeLaGarza,0
akkkyon,0
yeh,1
thatWILDschild,1
hongt,0
kinky,1
rockislifehm,0
RodhwaHanifah,0
yee,0
RTPAChunji,0
Giarraffo,0
DANIEL,0
fighters,1.0
httptco2L2WsbMBBc,1
Raidernation08,0
SAMJANS,0
yep,0
yer,1.0
yet,0.0
ProofsalebugenthailandcomBugen,0
httptcoOxVmZYiXtq,0
didunia,0
kalmz,0
dhdwn,0
tlav95,0
theluciferia,-1
httptcoA0FqWoS2BR,0
Songnyn,0
njink,0
savm,0
japelle,0
AreaPsikologi,0
berdasarka,0
uitgangspunt,0
dkal,0
whatsapp,0
njing,0
koy,0
BEREMbenben,0
lohhaha,0
httptcom80JaCxybm,0
snyk813,0
sintarouuu,0
baconior,0
SwAgG,0
201355161500,0
Bekijk,0
Brazilof,1
httptcodZWT6gJCR8,0
Jubs,0
beffa,0
Somobodys,0
gepeng,0
erwiansyah1,1
Art,0
Boa,0
adlar,0
nude,0
Tbtb,0
NicolasRheims,0
11105,0
Ara,0
2Je,0
difyanis,-1
Are,0
Arf,0
awelder,1
Ari,0
mammag1,1
LySlaaMESuBBuH,0
erramajeth,0
MARKLEOspyMAN,1
httptcoI2hqNdIYes,0
mfers,0
duymas,0
Beef,0
kunne,0
ksksahahao,0
DAYUMMcindy,0
MartaPerezHerre,0
somehow,-1
elderly,1.0
firdiee,0
wwwwwww,0
FollowTuSorella,1
jupiter,0
iPimpFreshman,0
SMILE,0
Dirumah,0
httptcoWvFUSQxh1X,0
donggodmelisalaurin,0
ohhhallen,1
SikasikRT,0
azreazizy,0
adekurniasari1,0
Stacksz,0
Act1BeginnersCircle,-1
rbooks,0
130pt,0
kedomakedoma,0
Ariantiprmd,0
WHATSAPP,0
Ospek,0
partyRt,0
salgo,-1.0
merquero,0
ooohhhh,1
calipornyeah,-1
ouskr39,0
safaulia,0
hansanghyukkkk,0
99Line,0
deilsin,0
ohyo,0
Labrak,0
riwehRT,0
preshlilo,-1
o3oa,0
colectivo,0
ikarubianti,0
ballarono,0
httptco4B1xdaRABd,0
oreo,1
agussuarjaya,0
wayyyyyyyy,0
inedible,0
AlineSilva96,0
syierarobin,1
facebooknya,0
ysystktk,0
afternoon,2.0
Egirls,0
BSaside,0
Marley,-2.0
automatically,0
extraar,0
extraas,-1
dyin,0
lahir,0
httptcoJ8cP4Awqkb,0
Dallas,0
bchy,0
Tohka,0
selfie,0.0
Salshabillaa,0
rezeki,0
httptcotQiEXK4LcP,1
down,0
5112F1551Y6Z1,0
friendOh,0
httptcoRG5dh6IwhY,0
HAHAHAHA,0
persistente,0
Yung,2.0
knockME,0
gongchanyeol12,0
Unless,0
FloritaDiocman,0
mburry26,0
aromanino,0
flying,0
encanto,0
melepaskan,0
seguiiimeeee,0
editor,0
exhaust019,0
NBA,0
assaulted,-1
madruga,0
encanta,0
Swiming,0
paki,1.0
Nothinisscareekier,0
pilihanNya,0
joelalbertoqa,-1
pake,0
alumni,0
hahaRT,0
kakairvanP,0
mhmmm,1
BANTUTHANKS,0
sukimaofficial,0
berbaju,0
spikk,0
grillita,0
T3kaT3ki,0
Floridas,1
HaiOkky,0
Beyin,0
apndxoxo,0
NofCkstogive,1
Dillayuliandaaa,0
gesprek,0
dilerim,0
dilirik,0
MuackhRT,1
takipilerimin,0
Attempts,0
Bakewell,1
songong,0
PRETTYFLVCK0,0
NabilaSooyoung,0
tiedno,0
ekaretnowati,0
Naka,0
flbck,0
Anonim,0
httptco4lpjf4BR0F,1
Raviebabi,-1
kapannatalianata91,0
httpstcowB95Zvyj4Q,0
Cerpita13,0
petit,0
BAPA,0
httptcoRIi5MwG2aH,0
MccalebPj,0
drive,0
tamermaverick,0
Gimana,0
muffins,0
ueznul2,1
httptcoDPZyhNoZcO,-1
httptcociN5TI02Fv,0
httptco4QDxdxOqHx,0
aanbieding,0
menaje,0
takipedenitakipederim,0
Palopo,0
Zzz,-1
BordeauxShawty,1
Jalmiyaa,0
Sortie,0
CintaRasulAllah,0
definitivamente,0
WithGodvato,1
httptco4oAycvVCz0,0
LifeOfLeasure,1
CloseGTMO,-1
holly,0
2500,0
Bulatzoned,1
httptcoI9d0D3q3v4,0
fotografica,0
estudiar,-1.0
tajuk,0
Drive,0
085,0
unwell,0
tajur,0
Soiler,0
journey,0
wechat,0
Romantis,0
Cathy,0
httptcoYh4VC,0
Tertatih,0
weekend,4.0
versiyonu,0
EllieUver,0
Weet,1
takasd1125,0
propia,0
happening,-2.0
httptcoYJZtBW9eSy,0
karinall,0
AQuezada28,0
httptcoeCcfpQUCt7,0
Chek,-1
jacket,1.0
httptcocOteA0dT1h,0
tennisman121112,0
httptcoM80hXQCj01,0
httptcoGkw7Q5ORxH,0
Rostcas,0
Resolutions,0
Juaninamiilion,1.0
hemn,0
httptcoVLyGcDjYXX,0
Bett,0
AntiMaddi,0
yazk,0
Yrm,0
ettiinde,0
menghasilkan,0
wiii,0
fxkrystaaal,0
VidddFR,0
myab1,0
abbiamo,0
Everybideh,0
itscelebrities,3.0
chupe,0
httptcorYOZ5k9fmZ,0
Kylangan,0
SENYUM,0
httptcoOSHHKvpLhF,0
OCHUKO,0
Edited,0
21st,-1.0
uzatrTevfik,0
marai,0
verrckt,-1
splashinell,0
Ihnen,-1
father,0
puoi,0
0,0
NEIGHBOURS,0
begint,0
kendynyamukz,0
crocodiles,-1
Ireeneem,-1
AyanIrobe,-1
namhlanjengoba,0
Virgos,0
Yenge,0
httptcoTldRW14Iff,0
ratchetAF,0
nito,0
depan,0
frutamin,0
daaaya76,0
kamuu,0
amer200992,0
seores,0
jasonincc,2.0
merit,1
advised,0
Persahabatan,0
pasnip,0
oppmerksomhet,0
Headache,0
NorwaySoup,0
wurst,0
sm9491629,0
somos,-1.0
yolandasnts,0
Keluarga,0
tendra,0
Mahmoud,0
prparer,0
elah,0
hooras,0
attendre,0
round,0
angelchanchoa,0
DCDouglas,-1
talked,0
ngayonhaha,0
topraklarmz,0
Lagu,0
O2Lhoroscope,-1
pikir,0
Buddhas,0
Darren,0
MuhdRiffad,0
ANGEL7BAP,0
masaih,0
Lagi,0
memberikan,0
Gothic,0
Lage,0
Rela,0
Riasandiniii,0
Laga,0
Define,0
LUNES,0
Head,0
btanding,0
httptcoT8zySA3yrldevengaria,0
doendo,0
romish,0
gen311,0
carrotgo,-1
zurna,1
dayHappyChildrensDay,0
httptcoHPPbelYYgn,0
EliffBeyzaaa,0
EhhQimiii,0
filled,0
hhedebyoctaviani,1
8888bbc,0
NArezterSky,0
httptcoPnMptQS2u9,0
httptcoYsfUzMDWHW,0
Mollybach,0
whulankzz,0
ReenaLauren,-1
JanOok,0
macchina,0
padin,0
mantenerse,0
leap,0
Trafford,0
nanaaas,0
Abahambe,0
box,0
boy,3.0
httptcoFrUnzYkxIy,0
insan,0
jugais,0
bandingkan,0
bop,0
RTTEGOCALDERON,0
bor,0
bos,0
bot,0
iMookiz,0
ZeyadBinSanad,0
bow,0
boi,0
Neitsabes,0
bok,0
bol,0
bom,0
bon,0
boo,-1.0
httptcomFktWdsBty,0
boa,0
szlerini,0
boc,0
Mfirel901,1
teenage,0.0
1rttwitter,0
httptco8IauAOGeSk,0
PantyhoseLane,0
kikesitov67,0
httptcoJVEFT8WWTs,0
NaifAlahmd1,0
httptcoGY9DC2bOez,0
Ogah,0
Tqharunsyaputra,0
httptcoEE8xTFXxyD,0
Mannie,0
aiiauu,0
httptcoExhNsnYGmw,1
darla,0
ligou,-1
transplant,1
bestmovie,-1
kunjungan,0
breakughh,1
kalilahBN,0
visit,0
kclife2007,0
httptcoemsWaCZZlM,0
ahhh,0
saku,0
actin,0
fristhierahayu,0
MuslimMuslimah,0
ahha,0
Endless,1
ladygaga,0
httptcorSsvBKgDMF,0
rencana,0
imMikilicious,1
freestyle,0
kasihap,0
mutyaazshari,0
paparazzi,0
Ginago,0
begimana,0
RachelAnne124,0
Sdarautama,0
siate,0
terlupa,0
httptcowLVdd2fHZN,0
espera,0
httptco13ZzMXFHAo,0
kominicu,0
biancabustillos,1
laughtrip,0
JOIN,0
idx,0
farmville,0
Jworkerz09,1
Abah,0
kaylarapko,0
kepelaminan,0
institucional,0
LolenLonde08,0
Stuck,1.0
making,1.0
JustDoIt28,0
Archive,0
pacalleader,0
nearest,0
arkadalarMerve,0
FollowersTeamFollowBack,0
ExtraGrumpyCat,-1
httptcozmlXEKH3gP,0
hermanos,0
Kyungpook,0
Quiere,0
kanang,0
Cangkem,0
putriliadwipus,0
Bhajapa,1
aribinHkempet,0
kasian,1.0
Joonaa31,0
ciegoporque,-1
atuhh,-1
awwww,2.0
WishkeyLena16Medan,0
overreacting,-1
httptcoUnCyqotjT2,0
tasyalolo,0
muhamme,0
lebok,0
SHOES,0
JustcallmeBudd,-1
sorrynotsorry,0
IrvanNIC,1
14A,0
Sa3dGroup,0
Syahiwaaa,0
httptcoHBAgDU3NRx,0
trato,0
snf,0
Ure,-1
magyora13,0
143,0
140,0
httptco1F0rbvmUla,1
Talk2Me,0
snl,0
SebuahRamalan,0
umh,0
sweeeeeeet,0
pangningalkeun,0
asayanaccell,0
httptcomPhLtR3Jvf,0
Gelang,1.0
WhatsTheSaying,1
Sexton,0
blzzzzzz,0
gtgtgtgtgtgt,0
zlemekten,0
harungi,0
Necesito,0
ide,1.0
Series,0
errepublikarrei,0
monde,-1.0
DDwita,0
ebannawtolip,0
Popsivo,0
HOPE,0
omoshirobot,0
basket,0
nous,0
MrBie,0
NaughtyCiel,0
khaleda27,0
QisthinaSufian,-1
chilometri,0
HoeBaggShelly,0
shukri,0
shoes,0.0
mustajab,0
rockingstylesx,0
blumen,0
Balekk,0
chink,0
mondo,0
kuper,0
Koreanya,0
Summerkruz,0
arrosyidah3,0
diyenn,0
lalaptris,0
petterha,0
KUZ,0
miembros,0
group,0
monitor,0
httptco50LC6Lc7kT,0
latenighttweet,0
Rail,-2.0
adiyanir,0
Rain,0
gamegua,0
drummer,1
TOMWIENHOLTS,0
silmaokey,1
empat,0
AlfinaDamayant5,0
annyeong,0
sedap2,0
dbulan,0
Goin,0
sesok,0
softonic,0
importados,-1
Reciendo,0
httptcoJv5J2xys2g,0
erano,1
Kyla,0
httptcoYuyrYVDV0a,0
admrfq,1
lunch,0
httptcoiRXSHiQjbm,0
rewritewrite,0
toyol,0
Beth,1
EychaFrankishh,-1
Radityaanndt,1
teller,-1
lapakguecom,0
moslemmw7ed,0
TayZehren,1
httptcoHUkinPAXCn,0
yerhaihhhmcm,0
begini,0
Luwihini,0
slpy,-1
41300,0
Kette,0
JonathanOA,0
Boudou,0
ledo,1
xLisaJ,0
Safnaa,0
brews,1
nahan,0
darwish1175,0
XTGJMDAGMWTPGM,0
Generic,1
breaksfast,0
Zackyfarkhany,0
Rowley888,0
RocBrian,-1
manifesto,1
0419Sayatan,0
Els,0
diemin,0
manifestg,1
dannyemm,0
LuvU,0
RashidALFowzan,0
GomezDemi,1
Kem,0
Kek,0
alauramonique,-1
Kei,0
carrion,0
Successful,0
Fascinatingpics,0
Bukasvp,0
maho3017,0
MIYAVIOFFICIAL,0
gisteravond,1
Key,0
dibikin,0
httptco6EgY28ldV8,1
anggot,0
NurizaNenden,0
nadhilarahmdna,0
ajak,0
LeosWeAre,0.0
kamuh,0
G,0
Rights,0
PortsideMkt,0
Penny,0
gustos,0
vickyshofii,0
romans,0
YUUUUUKKKKK,0
httptcot7QwVWNWtX,0
Halu1,0
Afternoon,0
ColtDoesntPetit,1
ajap,0
YUUUKINgt,0
httptco4t9Xyv7jHd,0
fepet,0
jumpdo,0
KrisHerwandi,1
EliseBrowning,1
LHS9TimO,0
Clothespin,0
scheint,0
emilypinkney,1
MeelzTV,1
CISCkukar,0
minhelp,1
dihabiskan,0
Fakhri,1
LydiaElyana,0
STNK,0
httptcoHXHsI29bBd,0
RealSolis12,-1
owhh,0
first,0
CorderPhysio,0
Dancinn4Dollas,1
BadluckAaron,0
asingazhrtiara,0
Humanities,0
figuriamoci,0
koume0x0,0
httptco80gLdm416D,0
Terkejut,0
Black,0
Ycdiglesias,0
UbaidaSmb,1
ev13,0
httptconHkmAVlA3F,0
Berkepribadian,0
nagayoshidori,0
Telok,0
isamarg,0
LuuaOlhosLindos,0
dikejar,0
tomando,-1.0
fieri,0
httptcoPRzZ1SEAhZ,0
parezcas,0
PourSomeSugarOnMe,0
OfficialDebbiee,0
definicin,0
bahahah,0
menghantar,0
httptcoyzgxbWfpCE,0
parezcan,-2.0
baygon,0
right101012,0
picoftheday,1
meme,0
haruka0922,0
Numpty,-1
sihh,0
jurusan,0
julieannitsmytime,0
Fckd,0
enakkk,0
BimoWahyu2,0
temprano,1.0
httptco83uclcsHYD,1
Miracle,0
annanya,0
LOOKING,1
Samurai,0
pramediaputry,0
copas,0
mems,0
peperivero,0
chibaloltte,0
BronxBitch,-1
Consulting,1
Matchs,-1
Brb,0
httptcoikN66LqBoV,0
melomelochin,0
Rina49S,0
deaaSI,0
votes,1.0
InveigleFiend,1
fcktri,0
bergerak,0
20p,-1
inikahsuukmaa08,0
arcaas,0
PreschoolToday,0
KNMustache26,1.0
makeupPros,-1
chiks,0
Juga,0
KamagiMi,0
sahed,1
CHOTALOVERS,0
Astagfirullahalazim,0
Tight,0
ReadOn,1
chiki,0
20e,-1
scotlands,-1
AINDA,0
20k,0
Shaershaaa,0
kevin,0
kandakir,0
krydda,0
Ehalipp,0
Isuzu,0
foreigner,0
elmyunnqzu,0
jacquesperconte,0
squad,0
seledise,0
mozanadia,0
interior,0
performance,0
httptco3g32wN8jWT,0
Guayaquil,0
registered,0.0
jungle,0
flattered,1
200,-1.0
203,0
202,0
204,0
sougetunoel,0
ampiyon,0
208,0
Hatchet,0
Breana,0
Gatakut,0
Tannias,-1
Zuera,0
httptcoeYnecrv9r0,0
beta,0
herseym,0
bete,0
winnasri,0
canny,-1
ChriStymar,0
Keane,0
Jawaban,0
woooo,0
PLASTIKTIKL,0
Bonescythe,0
venden,0
xxm588,0
Aceh,0
Hblame,0
nidyadenay,1
apricotgumi,0
0318,-1
0319,0
Techinsight,0
aboutt,0
amendment,0
lhowingi,-1
MhdAriff,0
httptcoPV6pGFdrH6,1
berlipat,-1
WE,0
SAVE,0
playoffs,0
ThreeSixtyHoe,0
a7x,0
Barry,0
Merajuk,0
disunity,-1
bin,0
WH,1
httptcoq0LVWqRCWG,0
WT,0
Jagielka,1
Wkwkwkwkw,0
moonrauhl,0
Barri,0
ANNOYING,0
takin,-1
cakap,0
inigGrand,0
keburukan,0
vaccines,1
We,2.0
KeceFamsRP,0
XEllisBlaak,0
Wo,0
RIR,0
BIEN,0
RIP,0
httptcoNLLtZfL8Te,0
Wu,0
23nice,0
enthusiasm,0
lompatlompatan,1
awareness,1
httptcoFrUs8FOtkT,1
groovyyj,0
Contestame,1
get,3.0
httptcouvgFm5pYEM,0
raeda75rr,0
asaftm,0
scrappyLil,0
DaynaLebsack,0
httptcoiIFvrxrNT5,0
Biyoloji,0
Large,0
Pipijannnnn,0
geg,0
Yourlipsa,0
gee,0
gek,0
geh,0
geo,-1
Kadang,0
yemin,0
EdgarIdw,1
MoneyCrazy,0
dizzledfuck,-1
Right,2.0
AiwaVila,0
tirarme,0
Angel,0
httptcosQ5m7K41Gi,1
GWRTGW,0
vennafebrian,0
morning,0
miles,1
BieleckiRicardo,1
demisler,1
terrysiaputri,0
ngegombal,0
declared,0
KeenvOfficiel,0
